Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Mark,2025,14,Connor Idun,GWS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,4%,46%,,🟢 AUTO-BET - GenD Mark (Priority #3),6,1
Mark,2025,14,Jesse Hogan,GWS,BRL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,20%,60%,,,12,-1
Mark,2025,14,Massimo D'Ambrosio,HAW,ADE,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,4,10%,75%,,,1,1
Mark,2025,14,Harry Morrison,HAW,ADE,InsM,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,4.5,0%,50%,,🟢 AUTO-BET - Wing Mark (Priority #4),5,-1
Mark,2025,14,Josh Battle,HAW,ADE,KeyD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,5.5,6%,50%,,,3,1
Mark,2025,14,Karl Amon,HAW,ADE,GenD,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,4,15%,50%,,🟢 AUTO-BET - Wing Mark (Priority #4),3,1
Mark,2025,14,Christian Salem,MEL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,20%,31%,,🟢 AUTO-BET - GenD Mark (Priority #3),7,-1
Mark,2025,14,Trent Rivers,MEL,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,23%,46%,,,1,1
Mark,2025,14,Jake Bowey,MEL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,2%,46%,,,3,1
Disposal,2025,14,Paul Curtis,NTH,FRE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,12,13%,44%,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),12,0
Disposal,2025,14,Cameron Zurhaar,NTH,FRE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,0%,67%,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),8,1
Mark,2025,14,Nick Larkey,NTH,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4,6%,50%,,,3,1
Mark,2025,14,Jack Darling,NTH,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,0%,42%,,,5,-1
Mark,2025,14,Dylan Stephens,NTH,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5,4%,55%,,🟢 AUTO-BET - Wing Mark (Priority #4),2,1
Mark,2025,14,Jase Burgoyne,PTA,MEL,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,11%,58%,,🟢 AUTO-BET - Wing Mark (Priority #4),9,-1
Mark,2025,14,Anthony Caminiti,STK,WBD,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,6,7%,50%,,,6,0
Mark,2025,14,Mason Wood,STK,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,6.5,1%,46%,,🟢 AUTO-BET - Wing Mark (Priority #4),4,1
Mark,2025,14,Bradley Hill,STK,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,15%,67%,,🟢 AUTO-BET - Wing Mark (Priority #4),4,1
Mark,2025,14,Archie Roberts,ESS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-6%,75%,,,5,1
Mark,2025,14,Aaron Naughton,WBD,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,0%,67%,,🟢 AUTO-BET - KeyF Mark (Priority #1),3,1
Mark,2025,14,Liam Duggan,WCE,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,8%,46%,,,7,-1
Mark,2025,14,Oscar Allen,WCE,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-1%,36%,,,4,-1
Tackle,2025,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6,8%,57%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,10,-1
Tackle,2025,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,4.5,18%,50%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,6,-1
Tackle,2025,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,3.5,0%,50%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,4,-1
Tackle,2025,15,Will Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,3,-5%,64%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,-1
Disposal,2025,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,2%,58%,,,26,-1
Disposal,2025,15,Zac Bailey,BRL,GEE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,16,10%,50%,,,19,-1
Disposal,2025,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13.5,3%,50%,,,13,1
Mark,2025,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,64%,,,4,1
Disposal,2025,15,Jaspa Fletcher,BRL,GEE,GenDD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,3%,33%,,,23,-1
Mark,2025,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,43%,,,5,0
Mark,2025,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,50%,,,6,-1
Disposal,2025,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13,6%,43%,,,14,-1
Disposal,2025,15,Dayne Zorko,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,25.5,4%,50%,,,33,-1
Disposal,2025,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,25,5%,50%,,,17,1
Disposal,2025,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26,3%,50%,,,22,-1
Disposal,2025,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,23,4%,50%,,,30,-1
Disposal,2025,15,Eric Hipwood,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,6%,50%,,,7,1
Disposal,2025,15,Cam Rayner,BRL,GEE,MedF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,15,-1%,64%,,,19,-1
Disposal,2025,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,-5%,54%,,,13,-1
Disposal,2025,15,Charlie Cameron,BRL,GEE,SmF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,8.5,10%,50%,,,10,-1
Mark,2025,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4,-2%,69%,,,8,-1
Disposal,2025,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,10%,50%,,,16,1
Disposal,2025,15,Levi Ashcroft,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,17.5,15%,29%,,,23,-1
Disposal,2025,15,Will Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26.5,2%,50%,,,28,-1
Mark,2025,15,Dayne Zorko,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,7,1%,50%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,0
Disposal,2025,15,Kai Lohmann,BRL,GEE,MedF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10.5,-28%,67%,,🤔 CONSIDER #6 - Long Travel + Disposal (Need: ≤-10% Avg vs Line),13,-1
Mark,2025,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,0%,58%,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),10,-1
Disposal,2025,15,Harris Andrews,BRL,GEE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,12.5,5%,43%,,,16,-1
Disposal,2025,15,Darcy Fort,BRL,GEE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,0%,63%,,,8,1
Mark,2025,15,Jaspa Fletcher,BRL,GEE,GenDD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,10%,43%,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),4,1
Mark,2025,15,Blake Acres,CAR,NTH,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,5%,55%,,,7,-1
Mark,2025,15,Charlie Curnow,CAR,NTH,KeyF,✅ Neutral,✅ Neutral,🔵 Strong Easy,6.5,-10%,50%,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),3,1
Mark,2025,15,Sam Docherty,CAR,NTH,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-5%,67%,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),16,-1
Mark,2025,15,Oliver Hollands,CAR,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,12%,53%,,,5,0
Mark,2025,15,Nick Haynes,CAR,NTH,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,8,10%,46%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),11,-1
Mark,2025,15,Tim Membrey,COL,STK,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-6%,64%,,,4,1
Mark,2025,15,Josh Daicos,COL,STK,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-15%,75%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),6,1
Mark,2025,15,Nasiah Wanganeen-Milera,STK,COL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,6,-9%,62%,,,7,-1
Tackle,2025,15,Will Setterfield,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,1%,40%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,1
Tackle,2025,15,Jye Caldwell,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,-8%,44%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,1
Tackle,2025,15,Zach Merrett,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,4.5,-18%,62%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,3,1
Mark,2025,15,Archie Roberts,ESS,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,2%,39%,,,8,-1
Mark,2025,15,Peter Wright,ESS,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,21%,33%,,,5,-1
Mark,2025,15,Xavier Duursma,ESS,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,18%,46%,,,3,1
Mark,2025,15,Nic Martin,ESS,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,7,10%,46%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,0
Mark,2025,15,Josh Treacy,FRE,ESS,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5%,67%,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),3,1
Mark,2025,15,Luke Ryan,FRE,ESS,KeyD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-7%,62%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),12,-1
Mark,2025,15,Jordan Clark,FRE,ESS,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6,-10%,92%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),8,-1
Tackle,2025,15,Bailey Humphrey,GCS,GWS,FwdMid,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,17%,67%,,🤔 CONSIDER #7 - Strong DvP + Tackle,3,1
Tackle,2025,15,Matt Rowell,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,8.5,-4%,67%,,🤔 CONSIDER #7 - Strong DvP + Tackle,8,1
Mark,2025,15,John Noble,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,27%,50%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,3,1
Mark,2025,15,Daniel Rioli,GCS,GWS,GenDD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-4%,58%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,2,1
Mark,2025,15,Bodhi Uwland,GCS,GWS,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,4%,58%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,3,1
Mark,2025,15,Joel Jeffrey,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,17%,68%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,6,-1
Mark,2025,15,Wil Powell,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,9%,42%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,6,-1
Mark,2025,15,Lawson Humphries,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,8%,46%,,,4,1
Mark,2025,15,Zach Guthrie,GEE,BRL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,5%,71%,,,3,1
Mark,2025,15,Mark O'Connor,GEE,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,1%,64%,,,3,1
Mark,2025,15,Aaron Cadman,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,0%,57%,,,3,1
Mark,2025,15,Jesse Hogan,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,21%,55%,,,7,-1
Mark,2025,15,Lachie Whitfield,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,18%,50%,,,1,1
Mark,2025,15,Connor Idun,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,3%,50%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),10,-1
Mark,2025,15,Harry Himmelberg,GWS,GCS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,17%,38%,,,1,1
Mark,2025,15,Lachie Ash,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,6%,50%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),4,1
Mark,2025,15,Connor Rozee,PTA,SYD,InsM,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-11%,62%,,,4,1
Mark,2025,15,Jack Sinclair,STK,COL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-11%,62%,,,3,1
Mark,2025,15,Dylan Stephens,NTH,CAR,Wing,✅ Neutral,✅ Neutral,✅ Neutral,4.5,9%,50%,,,6,-1
Mark,2025,15,Nick Larkey,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,11%,44%,,,3,1
Mark,2025,15,Jack Darling,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,-10%,60%,,,2,1
Mark,2025,15,Caleb Daniel,NTH,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.5,14%,46%,,,3,1
Mark,2025,15,Luke McDonald,NTH,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,2%,61%,,,8,-1
Mark,2025,15,Jeremy Howe,COL,STK,KeyD,✅ Neutral,✅ Neutral,✅ Neutral,6,-20%,64%,,,5,1
Mark,2025,15,Jase Burgoyne,PTA,SYD,Wing,✅ Neutral,✅ Neutral,✅ Neutral,4.5,18%,54%,,,7,-1
Mark,2025,15,Mitch Georgiades,PTA,SYD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,15%,54%,,,4,1
Mark,2025,15,Nick Vlastuin,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,20%,69%,,,7,-1
Mark,2025,15,Tom Brown,RIC,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,11%,54%,,,3,-1
Mark,2025,15,Tom Lynch,RIC,WBD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,4.5,-1%,55%,,,5,-1
Tackle,2025,15,Jack Macrae,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,7%,63%,,🤔 CONSIDER #7 - Strong DvP + Tackle,6,-1
Tackle,2025,15,Hunter Clark,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,20%,60%,,🤔 CONSIDER #7 - Strong DvP + Tackle,5,-1
Tackle,2025,15,Marcus Windhager,STK,COL,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-14%,85%,,🤔 CONSIDER #7 - Strong DvP + Tackle,1,1
Tackle,2025,15,Jack Steele,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,7.5,7%,58%,,🤔 CONSIDER #7 - Strong DvP + Tackle,5,1
Disposal,2025,15,Jack Steele,STK,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,22,0%,0%,,,19,1
Mark,2025,15,Cooper Sharman,STK,COL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5.5,7%,46%,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),2,1
Mark,2025,15,Sam Banks,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-29%,75%,,,1,1
Mark,2025,15,Nick Blakey,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,5%,67%,,,5,0
Mark,2025,15,Riley Bice,SYD,PTA,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,20%,50%,,,0,1
Mark,2025,15,Dane Rampe,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,0%,62%,,,4,0
Mark,2025,15,Matt Roberts,SYD,PTA,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,4%,58%,,,6,0
Mark,2025,15,Sam Darcy,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,8.5,-16%,71%,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),8,1
Mark,2025,15,Aaron Naughton,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-3%,70%,,,2,1
Mark,2025,15,Bailey Williams,WBD,RIC,Wing,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,0%,0%,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),15,-1
Mark,2025,15,Bailey Dale,WBD,RIC,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-29%,85%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,-1
Mark,2025,16,Darcy Fogarty,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-5%,62%,,,3,1
Mark,2025,16,Riley Thilthorpe,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5%,57%,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),6,-1
Mark,2025,16,Oliver Hollands,CAR,PTA,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,11%,57%,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),2,1
Mark,2025,16,Blake Acres,CAR,PTA,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,0%,50%,,,0,1
Mark,2025,16,Charlie Curnow,CAR,PTA,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,4%,54%,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),6,-1
Mark,2025,16,Josh Treacy,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,16%,43%,,,4,1
Mark,2025,16,Patrick Voss,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,3,0%,70%,,,2,1
Mark,2025,16,Karl Amon,HAW,NTH,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,27%,46%,,,4,-1
Mark,2025,16,Jack Gunston,HAW,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5.5,4%,45%,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),4,1
Disposal,2025,16,Daniel Turner,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14,-15%,64%,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),12,1
Disposal,2025,16,Clayton Oliver,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25,2%,54%,,,24,1
Disposal,2025,16,Tom Sparrow,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,13,-1%,57%,,,10,1
Disposal,2025,16,Judd McVee,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,16,-3%,54%,,,12,1
Disposal,2025,16,Christian Petracca,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25.5,-1%,43%,,,32,-1
Disposal,2025,16,Kysaiah Pickett,MEL,GCS,FwdMid,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,17.5,7%,46%,,,25,-1
Disposal,2025,16,Harvey Langford,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,18.5,-1%,31%,,,19,-1
Disposal,2025,16,Jake Melksham,MEL,GCS,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,9.5,1%,55%,,,18,-1
Disposal,2025,16,Christian Salem,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19,12%,43%,,,22,-1
Disposal,2025,16,Jake Bowey,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21.5,5%,43%,,,25,-1
Disposal,2025,16,Trent Rivers,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21,-2%,34%,,,27,-1
Disposal,2025,16,Kade Chandler,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,13,14%,50%,,,11,1
Disposal,2025,16,Xavier Lindsay,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,2%,46%,,,12,1
Disposal,2025,16,Ed Langdon,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,18,13%,43%,,,11,1
Mark,2025,16,Nick Larkey,NTH,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,3.5,16%,50%,,,7,-1
Mark,2025,16,Dylan Stephens,NTH,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,0%,54%,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),1,1
Mark,2025,16,Mitch Georgiades,PTA,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,15%,54%,,,6,-1
Mark,2025,16,Travis Boak,PTA,CAR,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,4,10%,57%,,,3,1
Mark,2025,16,Tom Lynch,RIC,ADE,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,0%,50%,,,1,1
Disposal,2025,16,Dan Butler,STK,FRE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,-12%,67%,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),6,1
Tackle,2025,16,Marcus Windhager,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4,-18%,86%,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),3,1
Tackle,2025,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5,8%,58%,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),4,1
Tackle,2025,16,Jack Steele,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,11%,62%,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),9,-1
Tackle,2025,16,Hunter Clark,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4.5,33%,40%,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),5,-1
Disposal,2025,16,Callum Wilkie,STK,FRE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20.5,-2%,57%,,,16,1
Disposal,2025,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,26.5,4%,42%,,,26,1
Disposal,2025,16,Jack Sinclair,STK,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,26.5,1%,64%,,,22,1
Disposal,2025,16,Nasiah Wanganeen-Milera,STK,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,28.5,2%,43%,,,28,1
Disposal,2025,16,Cooper Sharman,STK,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,2%,42%,,,10,1
Disposal,2025,16,Jack Higgins,STK,FRE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,-1%,43%,,,15,-1
Disposal,2025,16,Jack Steele,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,20.5,6%,50%,,,22,-1
Disposal,2025,16,Marcus Windhager,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,18.5,8%,28%,,,21,-1
Disposal,2025,16,Max Hall,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13.5,-3%,50%,,,21,-1
Disposal,2025,16,Mitch Owens,STK,FRE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,12.5,8%,43%,,,14,-1
Disposal,2025,16,Hunter Clark,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,17.5,-17%,66%,,,16,1
