Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Bet Priority,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L,,🔷 Moderate Easy,🔹 Slight Easy,🔵 Strong Easy
Mark,10,Mitch McGovern,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,4%,56%,#REF!,5,3,1,,,,
Disposal,17,Harry Sheezel,NTH,WBD,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,10,New,#10 - Disposal + Neutral Weather (71.4% WR) (Need: Line >26),5%,27%,,26.5,,,,,,
Disposal,17,Bailey Dale,WBD,NTH,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,10,New,#10 - Disposal + Neutral Weather (71.4% WR) (Need: Line >26),1%,47%,,28,,,,,,
Disposal,10,Tom McDonald,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,6%,33%,#REF!,15,16,-1,,,,
Disposal,10,Judd McVee,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,0%,44%,#REF!,16,13,1,,,,
Disposal,10,Dane Rampe,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,10%,56%,#REF!,13,8,1,,,,
Tackle,10,Marcus Windhager,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-8%,78%,#REF!,4,0,1,,,,
Mark,14,Harry Morrison,HAW,ADE,Wing,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,,,🟢 AUTO-BET - Wing Mark (Priority #4),0%,50%,,4.5,5,-1,,,,
Disposal,10,Sam Wicks,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,4%,56%,#REF!,14,20,-1,,,,
Disposal,10,Mitchell Hinge,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,44%,#REF!,18,21,-1,,,,
Mark,10,Connor O'Sullivan,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,41%,22%,#REF!,4.5,3,1,,,,
Mark,14,Dylan Stephens,NTH,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟢 AUTO-BET - Wing Mark (Priority #4),4%,55%,,5,2,1,,,,
Mark,13,Paul Curtis,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,🟡 STRONG BET - Long Travel,9%,50%,,4,2,1,,,,
Disposal,10,Wayne Milera,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-1%,56%,#REF!,17,17,0,,,,
Disposal,10,Lachlan Bramble,WBD,ESS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-2%,56%,#REF!,17.5,14,1,,,,
Disposal,10,Jason Johannisen,WBD,ESS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-8%,60%,#REF!,19,20,-1,,,,
Disposal,10,Brennan Cox,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,1%,44%,#REF!,12,6,1,,,,
Disposal,10,Karl Worner,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,6%,50%,#REF!,13,8,1,,,,
Disposal,10,Zach Guthrie,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,6%,56%,#REF!,18,21,-1,,,,
Mark,14,Karl Amon,HAW,ADE,Wing,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,,,🟢 AUTO-BET - Wing Mark (Priority #4),15%,50%,,4,3,1,,,,
Mark,11,Harry Himmelberg,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,15%,40%,#REF!,6,4,1,,,,
Tackle,10,Jack Macrae,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,13%,56%,#REF!,5,3,1,,,,
Disposal,10,Andrew McGrath,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,3%,50%,#REF!,21.5,25,-1,,,,
Mark,14,Nick Larkey,NTH,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,6%,50%,,4,3,1,,,,
Mark,14,Jeremy Cameron,GEE,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,🟢 AUTO-BET - KeyF Mark (Priority #1),-20%,70%,,7,6,1,,,,
Mark,13,Cameron Zurhaar,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,🟡 STRONG BET - Long Travel,7%,73%,,4,6,-1,,,,
Mark,11,Alex Pearce,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,7%,40%,#REF!,4.5,7,-1,,,,
Mark,11,Nathan Broad,RIC,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,2%,70%,#REF!,6,8,-1,,,,
Tackle,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,28%,33%,#REF!,8,5,1,,,,
Mark,16,Darcy Fogarty,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-5%,62%,,5,3,1,,,,
Disposal,10,Jaxon Prior,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,2%,50%,#REF!,15,17,-1,,,,
Disposal,10,Mason Redman,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-4%,88%,#REF!,22,27,-1,,,,
Disposal,10,Jimmy Webster,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-6%,56%,#REF!,14,17,-1,,,,
Disposal,11,Brennan Cox,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,40%,#REF!,11.5,13,-1,,,,
Disposal,11,Laitham Vandermeer,WBD,GEE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,8%,38%,#REF!,10.5,13,-1,,,,
Disposal,11,Josh Battle,HAW,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,8%,50%,#REF!,17.5,23,-1,,,,
Disposal,11,Nick Vlastuin,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,-3%,50%,#REF!,19,24,-1,,,,
Mark,12,Nic Martin,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,14%,40%,,7,7,0,,,,
Disposal,11,Harry Himmelberg,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,7%,50%,#REF!,18,19,-1,,,,
Disposal,12,Josh Battle,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,11%,40%,,18,15,1,,,,
Disposal,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,6%,40%,,22,15,1,,,,
Disposal,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,5%,40%,,15.5,14,1,,,,
Disposal,12,Liam Duggan,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-2%,55%,,19,23,-1,,,,
Disposal,12,James Sicily,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-4%,60%,,21,6,1,,,,
Mark,12,Dayne Zorko,BRL,ESS,Des,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-7%,73%,,8,6,1,,,,
Disposal,12,Brennan Cox,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🚫 SKIP - Position,-7%,46%,,12.5,10,1,,,,
Disposal,12,Heath Chapman,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🚫 SKIP - Position,-4%,50%,,14.5,13,1,,,,
Tackle,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),-4%,68%,#REF!,4.5,3,1,,,,
Mark,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,16%,40%,#REF!,4.5,5,-1,,,,
Disposal,12,Darcy Wilmot,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,🟢 STRONG BET,0%,46%,,19.5,14,1,,,,
Disposal,12,Reuben Ginbey,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,8%,73%,,11.5,16,-1,,,,
Mark,12,James Sicily,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,3%,70%,,6,3,1,,,,
Disposal,12,Noah Answerth,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,1%,46%,,13.5,20,-1,,,,
Mark,11,Mitch McGovern,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,60%,#REF!,5,3,1,,,,
Disposal,12,Ryan Lester,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,2%,55%,,14,15,-1,,,,
Disposal,12,Corey Wagner,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟢 STRONG BET,6%,44%,,15,18,-1,,,,
Disposal,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - Position,-3%,46%,,19.5,19,1,,,,
Disposal,12,Mason Redman,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,8%,50%,,19.5,26,-1,,,,
Disposal,12,Mark O'Connor,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,2%,46%,,14.5,15,-1,,,,
Disposal,12,Zach Guthrie,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,3%,55%,,18.5,13,1,,,,
Disposal,12,Liam Baker,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,3%,27%,,21.5,29,-1,,,,
Mark,15,Charlie Curnow,CAR,NTH,KeyF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),-10%,50%,,6.5,3,1,,,,
Disposal,13,Luke McDonald,NTH,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🟡 STRONG BET - Long Travel,1%,55%,,14,23,-1,,,,
Disposal,16,Daniel Turner,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),-15%,64%,,14,12,1,,,,
Disposal,10,Mitch Owens,STK,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-4%,50%,#REF!,13.5,12,1,,,,
Disposal,10,Max Hall,STK,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-1%,44%,#REF!,14.5,13,1,,,,
Disposal,10,Jamie Cripps,WCE,STK,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-6%,67%,#REF!,12.5,9,1,,,,
Disposal,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,,8%,40%,#REF!,16.5,21,-1,,,,
Disposal,10,Jeremy Cameron,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,,0%,44%,#REF!,14.5,16,-1,,,,
Disposal,10,Shai Bolton,FRE,GWS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,-1%,38%,#REF!,18.5,24,-1,,,,
Disposal,10,Patrick Voss,FRE,GWS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,15%,20%,#REF!,8.5,11,-1,,,,
Disposal,10,Sam Powell-Pepper,PTA,GEE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,33%,#REF!,13.5,23,-1,,,,
Disposal,10,Alex Neal-Bullen,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,33%,#REF!,17,9,1,,,,
Disposal,10,Ben Keays,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,5%,33%,#REF!,17,7,1,,,,
Mark,12,Tom Stewart,GEE,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟡 CONSIDER,-27%,63%,,7.5,7,1,,,,
Disposal,10,Josh Rachele,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-1%,56%,#REF!,12.5,14,-1,,,,
Disposal,10,Kysaiah Pickett,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,12%,33%,#REF!,17.5,21,-1,,,,
Disposal,10,Charlie Spargo,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-4%,43%,#REF!,11.5,13,-1,,,,
DIsposal,11,Ryley Sanders,WBD,GEE,GenF,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,5%,60%,#REF!,20,13,1,,,,
Tackle,10,Andrew Brayshaw,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),11%,44%,#REF!,6,6,0,,,,
Tackle,10,Jack Steele,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,50%,25%,#REF!,5,14,-1,,,,
Disposal,11,Joe Richards,PTA,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-2%,50%,#REF!,14.5,13,1,,,,
Mark,11,Sam Taylor,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,60%,#REF!,6,7,-1,,,,
Mark,12,Lawson Humphries,GEE,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,-9%,70%,,6.5,4,1,,,,
Mark,12,Mark O'Connor,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,-12%,64%,,6.5,6,1,,,,
Disposal,11,Sam Powell-Pepper,PTA,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-6%,60%,#REF!,15.5,9,1,,,,
Disposal,11,Toby Bedford,GWS,CAR,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-18%,67%,AVOID,12.5,11,1,,,,
Disposal,11,Liam Ryan,WCE,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,1%,63%,#REF!,12,11,1,,,,
Disposal,11,Connor Macdonald,HAW,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-13%,75%,#REF!,15,20,-1,,,,
Tackle,11,Harley Reid,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-20%,70%,#REF!,3.5,2,1,,,,
Mark,15,Archie Roberts,ESS,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,2%,39%,,5.5,8,-1,,,,
Tackle,11,Liam Baker,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-9%,60%,#REF!,3.5,2,1,,,,
Mark,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🚫 SKIP - Position,17%,64%,,5.5,4,1,,,,
Mark,11,Steven May,MEL,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-3%,57%,#REF!,6.5,5,1,,,,
Disposal,11,Tom Powell,NTH,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,16%,30%,#REF!,19.5,28,-1,,,,
Disposal,12,Bailey Humphrey,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🚫 SKIP - Hybrid Position,-9%,50%,,18.5,12,1,,,,
Mark,15,Harry Himmelberg,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,17%,38%,,5.5,1,1,,,,
Disposal,12,Ben Long,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟡 CONSIDER,4%,44%,,11.5,11,1,,,,
Disposal,12,Dylan Moore,HAW,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,-5%,60%,,17,18,-1,,,,
Disposal,12,Matt Guelfi,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,7%,50%,,11,10,1,,,,
Mark,14,Mason Wood,STK,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🟢 AUTO-BET - Wing Mark (Priority #4),1%,46%,,6.5,4,1,,,,
Mark,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,12%,60%,,5,2,1,,,,
Mark,12,Riley Bice,SYD,ADE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,12%,60%,,5,0,1,,,,
Tackle,11,Tom Powell,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,,,,16%,40%,#REF!,4.5,3,1,,,,
Mark,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,20%,60%,,4,1,1,,,,
Mark,12,Liam Duggan,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,18%,46%,,4,7,-1,,,,
Disposal,12,Beau McCreery,COL,HAW,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟡 CONSIDER,-4%,55%,,11,11,0,,,,
Disposal,12,Jamie Elliott,COL,HAW,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟡 CONSIDER,6%,50%,,12,12,0,,,,
Mark,12,Darcy Wilmot,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,🟢 STRONG BET,-9%,55%,,6,6,0,,,,
Disposal,12,Jade Gresham,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,4%,63%,,12.5,13,-1,,,,
Mark,15,Sam Darcy,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),-16%,71%,,8.5,8,1,,,,
Mark,15,Cooper Sharman,STK,COL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),7%,46%,,5.5,2,1,,,,
Mark,16,Blake Acres,CAR,PTA,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,0%,50%,,4.5,0,1,,,,
Mark,14,Bradley Hill,STK,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🟢 AUTO-BET - Wing Mark (Priority #4),15%,67%,,5.5,4,1,,,,
Disposal,12,Isaac Kako,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,6%,50%,,9.5,11,-1,,,,
Disposal,12,Nic Martin,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,0%,60%,,25.5,29,-1,,,,
Disposal,12,Ben Hobbs,ESS,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,3%,70%,,15,19,-1,,,,
Disposal,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - Hybrid Position,1%,38%,,21.5,26,1,,,,
Disposal,12,Levi Ashcroft,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-2%,36%,,21.5,15,1,,,,
Disposal,12,Braeden Campbell,SYD,ADE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,0%,36%,,13.5,8,1,,,,
Disposal,12,James Jordon,SYD,ADE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Hybrid Position,9,36%,,14.5,11,1,,,,
Disposal,12,Murphy Reid,FRE,GCS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,,,🟡 CONSIDER,0%,36%,,13.5,14,-1,,,,
Disposal,12,Cam Rayner,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-5%,73%,,15,14,1,,,,
Disposal,12,Callum Ah Chee,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-2%,64%,,12,13,-1,,,,
Disposal,12,Michael Frederick,FRE,GCS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,,,🟡 CONSIDER,1%,46%,,12,7,1,,,,
Disposal,12,Shaun Mannagh,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,1%,63%,,18.5,18,1,,,,
Disposal,12,Brad Close,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-1%,55%,,12,13,-1,,,,
Disposal,12,Kai Lohmann,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - FalseEdge Sub,-48%,83%,,11.5,15,-1,,,,
Disposal,12,Charlie Cameron,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-11%,56%,,11.5,8,-1,,,,
Disposal,12,Sam Flanders,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🚫 SKIP - Hybrid Position,2%,33%,,18.5,16,1,,,,
Disposal,12,Ben Ainsworth,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟡 CONSIDER,5%,33%,,14.5,13,1,,,,
Disposal,12,Jake Melksham,MEL,STK,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟡 CONSIDER,-10%,71%,,11,9,1,,,,
Tackle,11,George Wardlaw,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,,,,0%,50%,#REF!,5.5,4,1,,,,
Tackle,11,George Hewett,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),7%,50%,#REF!,6,1,1,,,,
Mark,15,Josh Treacy,FRE,ESS,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),-5%,67%,,5.5,3,1,,,,
Disposal,12,Daniel Turner,MEL,STK,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟡 CONSIDER,0,25%,,15.5,14,1,,,,
Disposal,13,Willie Rioli,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟢 AUTO-BET - GenF Medium Rain,10%,40%,,11,6,1,,,,
Disposal,13,Sam Flanders,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,,,🟢 AUTO-BET - GenF Medium Rain,3%,40%,,18,7,1,,,,
Mark,11,Callum Wilkie,STK,GCS,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,5%,50%,#REF!,8,8,0,,,,
Disposal,13,Ben Ainsworth,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,,,🟢 AUTO-BET - GenF Medium Rain,3%,40%,,14.5,4,1,,,,
Disposal,13,Darcy Byrne-Jones,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟢 AUTO-BET - GenF Medium Rain,0%,50%,,12,9,1,,,,
Tackle,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,23%,60%,#REF!,3,3,0,,,,
Disposal,13,Sam Powell-Pepper,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟢 AUTO-BET - GenF Medium Rain,1%,46%,,14,9,1,,,,
Mark,16,Cooper Sharman,STK,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),0%,57%,,5.5,4,1,,,,
Tackle,11,Luke Davies-Uniacke,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,,,,0%,60%,#REF!,4,4,0,,,,
Mark,12,Ryan Maric,WCE,GEE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-7%,82%,,4,6,-1,,,,
Tackle,11,James Peatling,ADE,WCE,InsM,✅ Neutral,✅ Neutral,✅ Neutral,,,,0%,78%,#REF!,5,5,0,,,,
Tackle,11,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,10%,50%,#REF!,6,8,-1,,,,
Disposal,13,Joe Richards,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟢 AUTO-BET - GenF Medium Rain,12%,50%,,13.5,15,-1,,,,
Disposal,13,Charlie Cameron,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟡 STRONG BET - Long Travel,5%,50%,,9.5,7,1,,,,
Disposal,13,Callum Ah Chee,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟡 STRONG BET - Long Travel,8%,58%,,11,10,1,,,,
Disposal,13,Cam Rayner,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟡 STRONG BET - Long Travel,-2%,58%,,14.5,17,-1,,,,
