Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Mark,14,Josh Treacy,FRE,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5,3%,67%,,,8,-1
Mark,14,Brennan Cox,FRE,NTH,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,19%,58%,,,6,-1
Mark,15,Josh Treacy,FRE,ESS,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5%,67%,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),3,1
Mark,15,Luke Ryan,FRE,ESS,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-7%,62%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),12,-1
Mark,15,Jordan Clark,FRE,ESS,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6,-10%,92%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),8,-1
Mark,16,Josh Treacy,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,16%,43%,,,4,1
Mark,16,Patrick Voss,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,3,0%,70%,,,2,1
Disposal,17,Brennan Cox,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,12,-4%,53%,,,6,1
Disposal,17,Heath Chapman,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15.5,-10%,71%,,,13,1
Disposal,17,Jordan Clark,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,26,-4%,67%,,,13,1
Disposal,17,Sean Darcy,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,10.5,-25%,86%,,,10,1
Disposal,17,Luke Ryan,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,22,-3%,60%,,,21,1
Disposal,17,Luke Jackson,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18,1%,50%,,,13,1
Mark,17,Brennan Cox,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,5,5%,53%,,,2,1
Disposal,17,Nathan O'Driscoll,FRE,SYD,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18.5,-15%,67%,8,Long Travel + Avg ≤-10%,26,-1
Disposal,17,Matthew Johnson,FRE,SYD,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17.5,8%,40%,,,20,-1
Tackle,17,Andrew Brayshaw,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,11%,47%,,,3,1
Tackle,17,Caleb Serong,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4.5,5%,66%,,,3,1
Disposal,17,Andrew Brayshaw,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,28.5,-1%,33%,4,Disposal + Neutral Weather + Line >27,24,1
Disposal,17,Caleb Serong,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,27.5,-4%,47%,4,Disposal + Neutral Weather + Line >27,11,1
Mark,17,Jordan Clark,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6.5,-10%,80%,,,2,1
Disposal,17,Murphy Reid,FRE,SYD,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14.5,-5%,47%,,,15,-1
Disposal,17,Josh Treacy,FRE,SYD,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,3%,53%,,,11,0
Mark,17,Luke Ryan,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,-7%,80%,,,7,0
Disposal,17,Corey Wagner,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,4%,50%,,,22,-1
Disposal,17,Karl Worner,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,-6%,50%,,,16,-1
Tackle,17,Luke Jackson,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4,-8%,67%,2,Tackle + Moderate Travel + Avg <5%,5,-1
Disposal,17,Patrick Voss,FRE,SYD,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,7%,36%,,,6,1
Tackle,17,Corey Wagner,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3.5,29%,50%,,,6,-1
Disposal,18,Andrew Brayshaw,FRE,HAW,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,29,4%,38%,,SKIP - No Strategy,29,0
Disposal,18,Bailey Banfield,FRE,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,13,6%,39%,,SKIP - No Strategy,5,1
Disposal,18,Brennan Cox,FRE,HAW,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,11,-2%,44%,,SKIP - No Strategy,8,1
Disposal,18,Caleb Serong,FRE,HAW,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,28.5,4%,50%,,SKIP - No Strategy,29,-1
Disposal,18,Corey Wagner,FRE,HAW,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,16.5,6%,62%,,SKIP - No Strategy,18,-1
Disposal,18,Heath Chapman,FRE,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,14.5,4%,60%,,SKIP - No Strategy,12,1
Disposal,18,Jaeger O'Meara,FRE,HAW,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,18.5,-9%,50%,,SKIP - No Strategy,9,1
Disposal,18,Jordan Clark,FRE,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,24,-1%,50%,,SKIP - No Strategy,31,-1
Disposal,18,Josh Treacy,FRE,HAW,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,11.5,2%,56%,,SKIP - No Strategy,13,-1
Disposal,18,Jye Amiss,FRE,HAW,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,8,5%,44%,,SKIP - No Strategy,8,0
Disposal,18,Karl Worner,FRE,HAW,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,14,1%,47%,,SKIP - No Strategy,12,1
Disposal,18,Luke Jackson,FRE,HAW,Ruck,✅ Neutral,✅ Neutral,🔹 Slight Easy,15.5,-13%,31%,,SKIP - No Strategy,13,1
Disposal,18,Luke Ryan,FRE,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,21,-2%,50%,,SKIP - No Strategy,22,-1
Disposal,18,Matthew Johnson,FRE,HAW,Wing,✅ Neutral,✅ Neutral,✅ Neutral,18.5,-2%,56%,,SKIP - No Strategy,21,-1
Disposal,18,Michael Frederick,FRE,HAW,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,11.5,2%,44%,,SKIP - No Strategy,13,-1
Disposal,18,Murphy Reid,FRE,HAW,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,14,1%,31%,,SKIP - No Strategy,13,1
Disposal,18,Nathan O'Driscoll,FRE,HAW,Wing,✅ Neutral,✅ Neutral,✅ Neutral,20.5,0%,43%,,SKIP - No Strategy,18,1
Disposal,18,Patrick Voss,FRE,HAW,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,9,-9%,33%,,SKIP - No Strategy,9,0
Disposal,18,Sean Darcy,FRE,HAW,Ruck,✅ Neutral,✅ Neutral,🔹 Slight Easy,10.5,30%,89%,,SKIP - No Strategy,12,-1
Disposal,18,Shai Bolton,FRE,HAW,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,17.5,-5%,40%,,SKIP - No Strategy,19,-1
Disposal,18,Luke Ryan,FRE,HAW,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,11.5,-46%,0%,,SKIP - No Strategy,22,-1
Tackle,17,Matthew Johnson,FRE,SYD,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,-11%,60%,2,Tackle + Moderate Travel + Avg <5%,1,1
Tackle,17,Matt Rowell,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,9,-7%,71%,2,Tackle + Moderate Travel + Avg <5%,17,-1
Tackle,17,Touk Miller,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4,-2%,64%,2,Tackle + Moderate Travel + Avg <5%,7,-1
Disposal,12,Bailey Humphrey,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,18.5,-9%,50%,,,12,1
Disposal,12,Sam Flanders,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,18.5,2%,33%,,,16,1
Disposal,12,Brayden Fiorini,GCS,FRE,Wing,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,17.5,-3%,33%,,🟡 CONSIDER,19,-1
Disposal,12,Matt Rowell,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,23,6%,40%,,,27,-1
Disposal,12,Touk Miller,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,25,5%,50%,,,24,1
Disposal,12,Noah Anderson,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,28,8%,50%,,,39,-1
Disposal,12,Ben Long,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,11.5,4%,44%,,🟡 CONSIDER,11,1
Disposal,12,Ben Ainsworth,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,14.5,5%,33%,,🟡 CONSIDER,13,1
Disposal,12,Mac Andrew,GCS,FRE,KeyD,✅ Neutral,⚠️ Medium Unders Edge (Rain),✅ Neutral,13,-3%,67%,,,20,-1
Disposal,12,Ben King,GCS,FRE,KeyF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,7.5,-500%,56%,,🟡 CONSIDER,7,1
Disposal,13,Brayden Fiorini,GCS,GEE,Wing,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,18,-2%,40%,,🟢 AUTO-BET - Wing Long Travel,24,-1
Mark,13,Mac Andrew,GCS,GEE,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔷 Moderate Easy,4.5,13%,60%,,🟡 STRONG BET - Long Travel,2,1
Disposal,13,Mac Andrew,GCS,GEE,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔷 Moderate Easy,13,3%,60%,,🟡 STRONG BET - Long Travel,11,1
Disposal,13,Jed Walter,GCS,GEE,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔹 Slight Easy,8.5,-12%,60%,,🟡 STRONG BET - Long Travel,7,1
Disposal,13,Ben King,GCS,GEE,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔹 Slight Easy,8,-7%,55%,,🟡 STRONG BET - Long Travel,4,1
Disposal,13,Sam Flanders,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,18,3%,40%,,🟢 AUTO-BET - GenF Medium Rain,7,1
Disposal,13,Ben Ainsworth,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,14.5,3%,40%,,🟢 AUTO-BET - GenF Medium Rain,4,1
Disposal,13,Ben Long,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,11,8%,50%,,🟢 AUTO-BET - GenF Medium Rain,8,1
Tackle,15,Bailey Humphrey,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,17%,67%,,🤔 CONSIDER #7 - Strong DvP + Tackle,3,1
Tackle,15,Matt Rowell,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,8.5,-4%,67%,,🤔 CONSIDER #7 - Strong DvP + Tackle,8,1
Mark,15,John Noble,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,27%,50%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,3,1
Mark,15,Daniel Rioli,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-4%,58%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,2,1
Mark,15,Bodhi Uwland,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,4%,58%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,3,1
Mark,15,Joel Jeffrey,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,17%,68%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,6,-1
Mark,15,Wil Powell,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,9%,42%,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,6,-1
Mark,17,Wil Powell,GCS,ESS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,-8%,93%,7,GenD + Mark + Avg <2%,5,1
Disposal,17,Mac Andrew,GCS,ESS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,12.5,-3%,46%,,,42,1
Disposal,17,Brayden Fiorini,GCS,ESS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,19.5,0%,71%,,,20,-1
Disposal,17,Lachie Weller,GCS,ESS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15,-7%,67%,,,17,-1
Mark,17,Daniel Rioli,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5,-23%,86%,3,Des + Mark + Avg <-10%,3,1
Disposal,17,Noah Anderson,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,30.5,0%,50%,4,Disposal + Neutral Weather + Line >27,30,1
Mark,17,John Noble,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5.5,-9%,64%,7,,4,1
Disposal,17,Ben King,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,8,-9%,57%,,,6,1
Mark,17,Bodhi Uwland,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5.5,-13%,64%,7,GenD + Mark + Avg <2%,9,-1
Disposal,17,Ben Long,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11.5,-2%,62%,,,8,1
Disposal,17,Bodhi Uwland,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17.5,-9%,71%,,,16,1
Disposal,17,Daniel Rioli,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20,-2%,57%,,,19,1
Mark,17,Joel Jeffrey,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,-4%,78%,7,GenD + Mark + Avg <2%,10,-1
Disposal,17,Matt Rowell,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25.5,-1%,50%,,,15,1
Disposal,17,Touk Miller,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25.5,3%,57%,,,25,1
Tackle,17,Bailey Humphrey,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4,13%,71%,,,4,0
Disposal,17,Ben Ainsworth,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14,-1%,46%,,,14,0
Disposal,17,Jed Walter,GCS,ESS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,8.5,-15%,69%,8,Long Travel + Avg ≤-10%,10,-1
Disposal,17,Bailey Humphrey,GCS,ESS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16.5,-1%,50%,,,18,-1
Disposal,17,Sam Clohesy,GCS,ESS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16.5,-4%,54%,,,15,1
Disposal,17,Joel Jeffrey,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18,-1%,64%,,,32,-1
Disposal,17,John Noble,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,25,0%,43%,,,29,-1
Disposal,17,Sam Flanders,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,22,10%,35%,,,24,-1
Disposal,17,Wil Powell,GCS,ESS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16,-5%,50%,,,20,-1
Disposal,18,Bailey Humphrey,GCS,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,15.5,-6%,47%,,SKIP - No Strategy,14,1
Disposal,18,Ben Ainsworth,GCS,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,13.5,-2%,36%,,SKIP - No Strategy,11,1
Disposal,18,Ben King,GCS,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,7.5,4%,60%,,SKIP - No Strategy,8,-1
Disposal,18,Ben Long,GCS,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,10.5,-5%,50%,,SKIP - No Strategy,12,-1
Disposal,18,Bodhi Uwland,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,15.5,-3%,47%,,SKIP - No Strategy,19,-1
Disposal,18,Brayden Fiorini,GCS,COL,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,19.5,-1%,63%,,SKIP - No Strategy,21,-1
Disposal,18,Daniel Rioli,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,18.5,-5%,40%,,SKIP - No Strategy,22,-1
Disposal,18,Jarrod Witts,GCS,COL,Ruck,✅ Neutral,✅ Neutral,🟡 Slight Unders,11.5,-10%,36%,,SKIP - No Strategy,14,-1
Disposal,18,Jed Walter,GCS,COL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,8,8%,43%,,SKIP - No Strategy,6,1
Disposal,18,Joel Jeffrey,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,18.5,-1%,60%,,SKIP - No Strategy,15,1
Disposal,18,John Noble,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,25,-1%,40%,,SKIP - No Strategy,30,-1
Disposal,18,Lachie Weller,GCS,COL,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,16.5,15%,60%,,SKIP - No Strategy,14,1
Disposal,18,Mac Andrew,GCS,COL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,12,-1%,43%,,SKIP - No Strategy,13,-1
Disposal,18,Matt Rowell,GCS,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,24.5,0%,53%,,SKIP - No Strategy,32,-1
Disposal,18,Noah Anderson,GCS,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,30.5,0%,53%,,SKIP - No Strategy,32,-1
Disposal,18,Sam Clohesy,GCS,COL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,15,-5%,33%,,SKIP - No Strategy,13,1
Disposal,18,Sam Flanders,GCS,COL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,23,18%,64%,,SKIP - No Strategy,18,1
Disposal,18,Touk Miller,GCS,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,25,-5%,47%,,SKIP - No Strategy,11,1
Disposal,18,Wil Powell,GCS,COL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,16,3%,47%,,SKIP - No Strategy,7,1
Mark,18,Ben Ainsworth,GCS,COL,GenF,✅ Neutral,✅ Neutral,✅ Neutral,4,6%,43%,,SKIP - No Strategy,3,1
Mark,18,Ben Long,GCS,COL,GenF,✅ Neutral,✅ Neutral,✅ Neutral,3.5,-22%,43%,,SKIP - No Strategy,2,1
Mark,18,Bodhi Uwland,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,-1%,53%,,SKIP - No Strategy,5,0
Mark,18,Daniel Rioli,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-8%,47%,,SKIP - No Strategy,4,-1
Mark,17,Harry Sheezel,NTH,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-4%,47%,,,3,1
Mark,18,John Noble,GCS,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,-9%,53%,,SKIP - No Strategy,8,-1
Mark,18,Mac Andrew,GCS,COL,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,-15%,43%,,SKIP - No Strategy,7,-1
Mark,18,Noah Anderson,GCS,COL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-8%,53%,,SKIP - No Strategy,3,1
Mark,18,Wil Powell,GCS,COL,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,-1%,33%,,SKIP - No Strategy,5,0
Tackle,18,Bailey Humphrey,GCS,COL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-10%,27%,,SKIP - No Strategy,2,1
Tackle,18,Jarrod Witts,GCS,COL,Ruck,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-9%,43%,,SKIP - No Strategy,3,1
Tackle,18,Matt Rowell,GCS,COL,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,9.5,6%,67%,,SKIP - No Strategy,13,-1
Tackle,18,Noah Anderson,GCS,COL,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.5,14%,60%,,SKIP - No Strategy,4,-1
Tackle,18,Touk Miller,GCS,COL,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-3%,53%,,SKIP - No Strategy,1,1
Tackle,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,🔵 Avoid (Rain),🔷 Moderate Easy,4.5,33%,33%,,,2,1
Disposal,10,Zach Guthrie,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,18,6%,56%,,,21,-1
Tackle,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,8,28%,33%,,,5,1
Disposal,10,Connor O'Sullivan,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12,13%,56%,,,5,1
Disposal,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,16.5,8%,40%,,,21,-1
Disposal,10,Jeremy Cameron,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,14.5,0%,44%,,,16,-1
Disposal,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,18,3%,44%,,,23,-1
Disposal,10,Patrick Dangerfield,GEE,PTA,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,16,5%,67%,,,3,1
Mark,10,Jeremy Cameron,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,4%,56%,,,8,-1
Mark,10,Max Holmes,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,16%,44%,,,5,-1
Mark,10,Connor O'Sullivan,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,41%,22%,,,3,1
Mark,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,4.5,16%,40%,,,5,-1
Tackle,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,3,23%,60%,,,3,0
Mark,11,Lawson Humphries,GEE,WBD,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,5.5,7%,55%,,,6,-1
Mark,11,Jack Henry,GEE,WBD,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,6,33%,60%,,,8,-1
Mark,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,5.5,-34%,91%,,🟡 CONSIDER,5,1
Disposal,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,21.5,1%,38%,,,26,1
Mark,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6,9%,44%,,,13,1
Disposal,12,Rhys Stanley,GEE,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,12,-15%,67%,,🟡 CONSIDER,9,1
Disposal,12,Lawson Humphries,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,19.5,-1%,60%,,,12,1
Disposal,12,Mark O'Connor,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,14.5,2%,46%,,,15,-1
Disposal,12,Zach Guthrie,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,18.5,3%,55%,,,13,1
Mark,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6.5,-20%,70%,,,7,-1
Mark,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,5,4%,64%,,,7,-1
Disposal,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,24.5,-1%,64%,,,27,-1
Disposal,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,30,3%,50%,,,30,-1
Disposal,12,Tom Stewart,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,21,-22%,67%,,🟡 CONSIDER,18,1
Disposal,12,Shaun Mannagh,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,18.5,1%,63%,,🟡 CONSIDER,18,1
Disposal,12,Sam De Koning,GEE,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,15.5,-10%,73%,,🟢 STRONG BET,12,1
Disposal,12,Brad Close,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,12,-1%,55%,,🟡 CONSIDER,13,-1
Disposal,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,9.5,-18%,82%,,🟡 CONSIDER,8,1
Disposal,12,Jeremy Cameron,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15.5,-6%,73%,,🟡 CONSIDER,14,1
Mark,14,Jordan Clark,FRE,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-2%,50%,,,5,1
