Type,Bet Priority,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L
Disposal,10,Wayne Milera,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-1%,56%,#REF!,17,17,0
Disposal,10,Lachlan Bramble,WBD,ESS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-2%,56%,#REF!,17.5,14,1
Disposal,10,Jason Johannisen,WBD,ESS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-8%,60%,#REF!,19,20,-1
Disposal,10,Brennan Cox,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,1%,44%,#REF!,12,6,1
Disposal,10,Karl Worner,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,6%,50%,#REF!,13,8,1
Disposal,10,Zach Guthrie,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,6%,56%,#REF!,18,21,-1
Mark,16,Darcy Fogarty,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,,-5%,62%,,5,3,1
Mark,11,Harry Himmelberg,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,15%,40%,#REF!,6,4,1
Mark,15,Archie Roberts,ESS,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,2%,39%,,5.5,8,-1
Disposal,10,Andrew McGrath,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,3%,50%,#REF!,21.5,25,-1
Disposal,17,Luke Jackson,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,1%,50%,,18,13,1
Mark,15,Harry Himmelberg,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,17%,38%,,5.5,1,1
Mark,16,Blake Acres,CAR,PTA,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,0%,50%,,4.5,0,1
Mark,11,Alex Pearce,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,7%,40%,#REF!,4.5,7,-1
Mark,11,Nathan Broad,RIC,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,2%,70%,#REF!,6,8,-1
Tackle,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,28%,33%,#REF!,8,5,1
Disposal,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,4%,42%,,26.5,26,1
Disposal,10,Jaxon Prior,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,2%,50%,#REF!,15,17,-1
Disposal,10,Mason Redman,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-4%,88%,#REF!,22,27,-1
Disposal,10,Jimmy Webster,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-6%,56%,#REF!,14,17,-1
Disposal,11,Brennan Cox,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,40%,#REF!,11.5,13,-1
Disposal,11,Laitham Vandermeer,WBD,GEE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,8%,38%,#REF!,10.5,13,-1
Disposal,11,Josh Battle,HAW,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,8%,50%,#REF!,17.5,23,-1
Disposal,11,Nick Vlastuin,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,-3%,50%,#REF!,19,24,-1
Disposal,16,Jack Sinclair,STK,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,1%,64%,,26.5,22,1
Disposal,11,Harry Himmelberg,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,7%,50%,#REF!,18,19,-1
Mark,11,Nick Blakey,SYD,MEL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-5%,78%,#REF!,5.5,6,-1
Disposal,16,Nasiah Wanganeen-Milera,STK,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,2%,43%,,28.5,28,1
Disposal,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,3%,33%,,19.5,23,-1
Mark,15,Peter Wright,ESS,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,21%,33%,,4.5,5,-1
Mark,16,Josh Treacy,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,,16%,43%,,4.5,4,1
Mark,16,Patrick Voss,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,,0%,70%,,3,2,1
Disposal,15,Levi Ashcroft,BRL,GEE,Unknown,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,15%,29%,,17.5,23,-1
Disposal,15,Will Ashcroft,BRL,GEE,Unknown,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,2%,50%,,26.5,28,-1
Mark,16,Karl Amon,HAW,NTH,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,,27%,46%,,3.5,4,-1
Mark,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,16%,40%,#REF!,4.5,5,-1
Disposal,16,Kade Chandler,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,14%,50%,,13,11,1
Disposal,15,Jack Steele,STK,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,,,,0%,0%,,22,19,1
Disposal,16,Xavier Lindsay,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,2%,46%,,14.5,12,1
Disposal,16,Ed Langdon,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,13%,43%,,18,11,1
Mark,11,Mitch McGovern,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,60%,#REF!,5,3,1
Disposal,16,Clayton Oliver,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,2%,54%,,25,24,1
Disposal,16,Tom Sparrow,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,-1%,57%,,13,10,1
Disposal,16,Judd McVee,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-3%,54%,,16,12,1
Disposal,16,Christian Petracca,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,-1%,43%,,25.5,32,-1
Disposal,16,Kysaiah Pickett,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,7%,46%,,17.5,25,-1
Disposal,16,Harvey Langford,MEL,GCS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,-1%,31%,,18.5,19,-1
Disposal,16,Jake Melksham,MEL,GCS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,1%,55%,,9.5,18,-1
Disposal,16,Christian Salem,MEL,GCS,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,12%,43%,,19,22,-1
Disposal,16,Jake Bowey,MEL,GCS,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,5%,43%,,21.5,25,-1
Disposal,16,Trent Rivers,MEL,GCS,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-2%,34%,,21,27,-1
Disposal,10,Mitch Owens,STK,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-4%,50%,#REF!,13.5,12,1
Disposal,10,Max Hall,STK,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-1%,44%,#REF!,14.5,13,1
Disposal,10,Jamie Cripps,WCE,STK,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-6%,67%,#REF!,12.5,9,1
Disposal,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,,8%,40%,#REF!,16.5,21,-1
Disposal,10,Jeremy Cameron,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,,0%,44%,#REF!,14.5,16,-1
Disposal,10,Shai Bolton,FRE,GWS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,-1%,38%,#REF!,18.5,24,-1
Disposal,10,Patrick Voss,FRE,GWS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,15%,20%,#REF!,8.5,11,-1
Disposal,10,Sam Powell-Pepper,PTA,GEE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,33%,#REF!,13.5,23,-1
Disposal,10,Alex Neal-Bullen,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,33%,#REF!,17,9,1
Disposal,10,Ben Keays,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,5%,33%,#REF!,17,7,1
Mark,16,Nick Larkey,NTH,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,16%,50%,,3.5,7,-1
Disposal,10,Josh Rachele,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-1%,56%,#REF!,12.5,14,-1
Disposal,10,Kysaiah Pickett,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,12%,33%,#REF!,17.5,21,-1
Disposal,10,Charlie Spargo,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-4%,43%,#REF!,11.5,13,-1
DIsposal,11,Ryley Sanders,WBD,GEE,GenF,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,5%,60%,#REF!,20,13,1
Mark,16,Travis Boak,PTA,CAR,Wing,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,,10%,57%,,4,3,1
Mark,16,Mitch Georgiades,PTA,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,15%,54%,,5,6,-1
Disposal,11,Joe Richards,PTA,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-2%,50%,#REF!,14.5,13,1
Mark,11,Sam Taylor,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,60%,#REF!,6,7,-1
Mark,16,Tom Lynch,RIC,ADE,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,50%,,4.5,1,1
Disposal,16,Anthony Caminiti,STK,FRE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,1%,57%,,13.5,14,-1
Disposal,11,Sam Powell-Pepper,PTA,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-6%,60%,#REF!,15.5,9,1
Disposal,11,Toby Bedford,GWS,CAR,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-18%,67%,AVOID,12.5,11,1
Disposal,11,Liam Ryan,WCE,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,1%,63%,#REF!,12,11,1
Disposal,11,Connor Macdonald,HAW,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-13%,75%,#REF!,15,20,-1
Tackle,11,Harley Reid,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-20%,70%,#REF!,3.5,2,1
Disposal,16,Callum Wilkie,STK,FRE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-2%,57%,,20.5,16,1
Tackle,11,Liam Baker,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-9%,60%,#REF!,3.5,2,1
Disposal,16,Cooper Sharman,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,2%,42%,,11.5,10,1
Mark,11,Steven May,MEL,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-3%,57%,#REF!,6.5,5,1
Disposal,11,Tom Powell,NTH,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,16%,30%,#REF!,19.5,28,-1
Disposal,16,Darcy Wilson,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-2%,58%,,17,12,1
Disposal,16,Jack Higgins,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-1%,43%,,9.5,15,-1
Disposal,16,Jack Steele,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,6%,50%,,20.5,22,-1
Disposal,16,Marcus Windhager,STK,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,8%,28%,,18.5,21,-1
Disposal,16,Mason Wood,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-2%,50%,,15.5,15,1
Disposal,16,Max Hall,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-3%,50%,,13.5,21,-1
Disposal,16,Mitch Owens,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,8%,43%,,12.5,14,-1
Disposal,16,Rowan Marshall,STK,FRE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,3%,50%,,17.5,22,-1
Tackle,11,Kade Chandler,MEL,SYD,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,10%,70%,#REF!,3,4,-1
Disposal,16,Hunter Clark,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,-17%,66%,,17.5,16,1
Mark,16,Hayden McLean,SYD,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,,-16%,73%,,4,4,0
Mark,16,Aaron Naughton,WBD,SYD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,,16%,50%,,4,12,-1
Mark,16,Joel Freijah,WBD,SYD,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,0%,50%,,3.5,7,-1
Disposal,16,Elijah Hewett,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-8%,67%,,17,16,1
Disposal,16,Harley Reid,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-4%,64%,,18.5,17,1
Disposal,16,Jamie Cripps,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,3%,42%,,11,7,1
Disposal,16,Jayden Hunt,WCE,COL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-3%,50%,,13.5,1,1
Disposal,16,Tim Kelly,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,8%,55%,,15,12,1
Disposal,16,Jack Graham,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,2%,54%,,19,19,0
Disposal,16,Brady Hough,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-7%,70%,,15.5,27,-1
Disposal,16,Jack Williams,WCE,COL,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,2%,55%,,9,11,-1
Disposal,16,Liam Baker,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,7%,36%,,21,35,-1
Disposal,16,Liam Duggan,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,64%,,20,27,-1
Disposal,16,Liam Ryan,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,2%,58%,,11.5,12,-1
Disposal,16,Matt Flynn,WCE,COL,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,7%,40%,,12.5,15,-1
Disposal,16,Reuben Ginbey,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,12%,64%,,11.5,15,-1
Disposal,16,Ryan Maric,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,20%,21%,,17.5,21,-1
Disposal,16,Sandy Brock,WCE,COL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,-1%,50%,,10.5,13,-1
Disposal,16,Tom McCarthy,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,0%,27%,,24.5,29,-1
Tackle,12,Marcus Windhager,STK,MEL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-16%,82%,,4,4,0
Disposal,12,Dayne Zorko,BRL,ESS,Des,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,-2%,55%,,27.5,23,1
Disposal,12,Archie Roberts,ESS,BRL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,2%,40%,,24,20,1
Disposal,12,Ryan Maric,WCE,GEE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-1%,55%,,22.5,15,1
Disposal,12,Karl Amon,HAW,COL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,50%,,23.5,22,1
Disposal,12,Luke Ryan,FRE,GCS,Des,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,,-2%,46%,,21.5,18,1
Disposal,12,Jordan Clark,FRE,GCS,Des,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,,0%,64%,,23,30,-1
Disposal,12,Lawson Humphries,GEE,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-1%,60%,,19.5,12,1
Disposal,12,Sam Banks,RIC,GWS,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,16%,0%,,23.5,25,-1
Tackle,11,Luke Davies-Uniacke,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,,,,0%,60%,#REF!,4,4,0
Disposal,12,Josh Battle,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,11%,40%,,18,15,1
Disposal,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,6%,40%,,22,15,1
Disposal,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,5%,40%,,15.5,14,1
Disposal,12,Liam Duggan,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-2%,55%,,19,23,-1
Mark,11,Callum Wilkie,STK,GCS,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,5%,50%,#REF!,8,8,0
Disposal,12,James Sicily,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-4%,60%,,21,6,1
Mark,12,Dayne Zorko,BRL,ESS,Des,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,-7%,73%,,8,6,1
Tackle,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,23%,60%,#REF!,3,3,0
Disposal,12,Brennan Cox,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,,-7%,46%,,12.5,10,1
Disposal,12,Heath Chapman,FRE,GCS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,,-4%,50%,,14.5,13,1
Disposal,12,Reuben Ginbey,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,8%,73%,,11.5,16,-1
Mark,12,James Sicily,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,70%,,6,3,1
Tackle,11,James Peatling,ADE,WCE,InsM,✅ Neutral,✅ Neutral,✅ Neutral,,,,0%,78%,#REF!,5,5,0
Tackle,11,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,10%,50%,#REF!,6,8,-1
Disposal,12,Noah Answerth,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,1%,46%,,13.5,20,-1
Disposal,12,Ryan Lester,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,2%,55%,,14,15,-1
Disposal,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-3%,46%,,19.5,19,1
Disposal,12,Mason Redman,ESS,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,8%,50%,,19.5,26,-1
Disposal,12,Mark O'Connor,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,2%,46%,,14.5,15,-1
Disposal,12,Zach Guthrie,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,3%,55%,,18.5,13,1
Disposal,12,Liam Baker,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,27%,,21.5,29,-1
Mark,12,Lawson Humphries,GEE,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-9%,70%,,6.5,4,1
Mark,12,Mark O'Connor,GEE,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-12%,64%,,6.5,6,1
Tackle,11,James Rowbottom,SYD,MEL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,6%,56%,#REF!,6.5,9,-1
Mark,12,Nick Vlastuin,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,17%,64%,,5.5,4,1
Mark,12,Jaxon Prior,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,12%,60%,,5,2,1
Mark,12,Riley Bice,SYD,ADE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,12%,60%,,5,0,1
Mark,12,Andrew McGrath,ESS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,20%,60%,,4,1,1
Mark,12,Liam Duggan,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,18%,46%,,4,7,-1
Mark,12,Ryan Maric,WCE,GEE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-7%,82%,,4,6,-1
Mark,12,Tom Brown,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,9%,56%,,4.5,2,1
Mark,12,Matt Roberts,SYD,ADE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,2%,64%,,6,8,-1
Disposal,17,Luke Ryan,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-3%,60%,,22,21,1
Mark,12,Archie Roberts,ESS,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-8%,80%,,6,8,-1
Disposal,17,Patrick Voss,FRE,SYD,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,7%,36%,,9.5,6,1
Disposal,17,Sean Darcy,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-25%,86%,,10.5,10,1
Mark,12,Josh Battle,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-5%,80%,,6,8,-1
Disposal,15,Kai Lohmann,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🤔 CONSIDER #6 - Long Travel + Disposal (Need: ≤-10% Avg vs Line),-28%,67%,,10.5,13,-1
Mark,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,-20%,70%,,6.5,7,-1
Disposal,12,Sam Durham,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,6%,40%,,22,8,1
Mark,11,Oscar Allen,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,-9%,75%,#REF!,4,4,0
Mark,11,Nick Larkey,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,3%,50%,#REF!,4,4,0
Disposal,12,Lachie Neale,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,,,,-6%,55%,,28.5,26,1
Disposal,12,Matt Rowell,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,,,,6%,40%,,23,27,-1
Tackle,10,Kysaiah Pickett,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-4%,83%,#REF!,4,3,1
Disposal,10,Tom Green,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,9%,25%,#REF!,30.5,25,1
Disposal,12,Jake Soligo,ADE,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,46%,,21.5,15,1
Mark,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,4%,64%,,5,7,-1
Disposal,10,Finn Callaghan,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,2%,50%,#REF!,26.5,24,1
Disposal,12,Jye Caldwell,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,9%,50%,,23.5,30,-1
Disposal,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,6%,33%,#REF!,26,36,-1
Disposal,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,44%,#REF!,18,23,-1
Disposal,10,Chad Warner,SYD,CAR,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-4%,44%,#REF!,22.5,30,-1
Disposal,10,Isaac Heeney,SYD,CAR,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-4%,78%,#REF!,22.5,38,-1
Disposal,10,Mattaes Phillipou,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,,20%,20%,#REF!,17,14,1
Disposal,12,Brady Hough,WCE,GEE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-2%,73%,,15,9,1
Disposal,12,Chad Warner,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-8%,73%,,25,19,1
Disposal,11,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-1%,50%,#REF!,29,21,1
